1a	Gilgameš lay down, night's rest upon him:
1b	"Bri[ng(?)] a dream, O watches of the night!"
2	In the middle watch his sleep shook him off;
3	he rose and spoke to his friend:
4a	"My friend, I have seen a dream —
4b	why did you not wake me? It is full of dread.
5	On my shoulders I was propping up a mountain;
6	the mountain buckled onto me and pinned m[e;]
7	palsy wrapped round my knees;
8	a numbing glare made my arms heavy —
9	then a certain young man [dre]w near, a lion(?)-clad one,
10	shining in the land, of goodness go[o]d(?):
11	he gripped the round of my a[r]m
12	and drew me out from underneath the mountain."
13a	Enkidu unravels the dream,
13b	saying to Gilgameš:
14	"Now, my friend — the one we are going against:
15	is he not the mountain? — strange, wholly other!
16a	Now — Huwawa, whom we are going against:
16b	is he [n]ot the mountain? — strange, wholly other!
17	You will close with him, and do a single deed —
18	the rite of a man, the work of a male.
19	He will whip up his fury against you;
20	the dread of him will wrap around your knees —
21	but the one you saw is Šamaš the king:
22	in the day of hard straits he will take your hand."
23	Gilgameš was glad: his dream was good;
24	his heart grew light, and his face began to shine.
25	A march of a single day, a second, and a third:
26	they drew near the land of Ebla.
27	Gilgameš went up to the crest of the ridge;
28	he gazed and gazed at all the uplands;
29	he propped his chin on his knees,
30	and sleep, which drenches people, fell on him.
31	In the middle watch his sleep shook him off;
32	he rose and spoke to his friend:
33a	"My friend, I have seen a second —
33b	beyond the first dream I saw, this one is full of dread.
34	Adad kept crying out; the earth was rumbling;
35	the day was hooded dark; darkness came out;
36	lightning flashed; fire broke out;
37	the flames billowed thick; it was raining death.
38	At the crying of Adad I was going faint;
39	the daylight dimmed, and I did not know which way I walked.
40	Then somehow the blaze burned down; the fire went out;
41	the flames kept falling, turned to cinders;
42	the darkness brightened; the god came o[u]t."
43	[ ... ] he led on, and [ ... ]
44a	[Enkidu] unrav[e]ls [the drea]m,
44b	say[ing] to Gilgameš:
45	"[ ... ] Adad keeps cry[ing;]
46	[ ... ] he keeps thundering at you;
47	[ ... ] against him
48	[ ... ] and your eyes will brighten:
49	the pure [flame that was ki]ndled for you [ ... ]
50	[ ... the f]lames and his weapons
51	you will lay in ashes.
52	Your dreams are go[od;] the god is w<ith> you;
53	you will reach your des[ig]ns with all speed."
54	They pre[ss]ed on, day and night;
55	they drew near to Hamran; they camped(?) on the tilled land(?)
56	where the West [Mou]ntain sits:
57	every [d]ay they k[e]pt hearing the voice of Huwawa.
58	The warde[n] of the cedar was watch[ing] over th[e]m,
59	he who t[u]rns back all br[ea]sts —
60a	[Huwawa, the w]arden of the cedar,
60b	he who turns back all breasts.
61	[Enkidu lifted] his eyes: he caught sight of the cedar;
62	[its terror-glo]ries blanket the uplands;
63	li[ke a m]an cut down, his face went pale;
64	drea[d ente]red his [h]eart.
65a	Gilgameš tu[rn]ed his face to him,
65b	saying to Enkidu:
66	"Why, my friend, has your face gone pal[e?]
67	Has dread en[ter]ed y[our] heart?"
68a	Enkidu shaped his mouth,
68b	saying to Gilgameš:
69	"I lifted my eyes, my friend: I caught sight of the cedar;
70	its terror-glories blanket the upl[a]nds.
71	Wh[o] is there could face that god,
72	whose weapon is strong among the Igīgī?
73	Huwawa — shall we face that one,
74	whose weapon is strong among the wo[rld-r]ims?"
75	"And is that why, my friend, my face went pale(?) —
76	why dread entered my heart?
77a	(No.)" — Gilgame[š] shaped [his m]outh,
77b	saying to [E]nkidu:
78	"My heart does n[ot] carry me off i[n] my own prowess(?);
79	Šamaš(?) has told me: 'Go — I am w[it]h you(?).'
80	Do not fear, Enkidu; watch over me;
81	a bat[t]le you have never known — let me make my heart perform it(?)!"
82	They set aside the night-rest; they lay down.
83	It ro[u]sed him, and he unrave[ls] his dream for him:
84	"My friend, I have seen a third —"
