1	At the first of the morning's brightening
2	Gilgameš [wept for] his friend:
3	"Enkidu — whom your mother, a gazelle,
4	and your father, a wild ass, [made] — you;
5	whom the [wild she-asses] raised on their milk — you;
6	whom the [herds of the steppe tau]ght every pasture:
7	may the paths, Enkidu, [of] the Cedar Forest
8	[mou]rn you, and not [fall silent] night or day.
9	May the elders of the wide city, of Uruk-the-Sheepfold, mourn you.
10	May the crowd that blessed us at our going mourn you.
11	May the high [places] of hill and mountain-range mourn you,
12	[ ... ] pure.
13	May the meadows keen like your mother.
14	May b[oxwood], cypress, cedar mourn you,
15	through whose midst we slipped in our fury.
16	May bear, hyena, leopard, tiger-cat, stag, wildcat mourn you,
17	lion, wild bull, deer, ibex — the herds and beasts of the open land.
18	May the holy river Ulāya mourn you, along whose bank we walked in our pride.
19	May the pure Euphrates mourn you,
20	whose water we poured out from skins.
21	[May] the young men of Uruk-the-[S]heepfo[ld mou]rn you,
22	[w]ho watched our battle when we slew the Bull.
23	May the ploughman mourn you at [his ... ,]
24	who lifted high your name in his sweet work-song.
25	[May ... ] mourn you [ ... ] of the wide city, of U[ruk-the-Sheepfold,]
26	who lifted high your name at the first [ ... ]
27	[May the h]erdsman [mourn you ... ,]
28	[who ... ] milk, [bee]r, and mixed brew [ ... for you;]
29	[may the shepherd-b]oy [mourn you ... ,]
30	[who] set the butter to your lips;
31	may the brew[er] mourn you [ ... ,]
32	[who] set the ale to your mouth;
33	may the h[arlot] mourn you [ ... ,]
34	[who] rubbed your crown with sweet-smelling oil;
35	may they we[ep over you ... in the] wedding-[house,]
36	who [ ... ] a wife [ ... upon you;]
37	[ ... may they w]eep over yo[u ... ;]
38	may they weep over you [like] (your) [brothers;]
39	like your sisters may they lo[osen] their hair ov[er their backs.]
40	[May they weep] for Enkidu, your mother and your father;
41	on this very day I too am weeping for you.
42	Hear me, young men — hear me!
43	Hear me, elders of the wide city, of Uruk — hear me!
44	I am weeping for Enk[idu] my [friend;]
45	like a hired mourning-woman I [ke]en in bitterness.
46	The axe at m[y] flank, the [tru]st of my arm,
47	the sword of my belt, the [shiel]d before my face,
47a	the holder of [ ... ,]
48	my festival garment, the sash of my delight —
49	an evil wind rose up and st[ol]e him from me.
50	My friend — swift mule, wild ass of the uplands, panther of the open land!
51	Enkidu, my friend — swift mule, wild ass [of the uplands, panther of the open land!]
52	We who joined together and went up the mountain,
53	who seized the Bull [and slew it,]
54	who brought down Humbaba, who [dwelt] in the [Cedar] Forest:
55	now — what sleep is this that has taken hold of you?
56	You have gone dark, and you do not he[ar me!]
57	And he — he does not lift his head.
58	He touched his heart: it beats no more, not at all.
59	Then he veiled his friend's face like a bride's;
60	like an eagle he wheel[ed over him;]
61	like a lioness robbed of [her] cu[bs]
62	he kept pacing back and forth before him,
63	tearing out and strewing his cur[led] hair in clumps,
64	stripping off and flinging down his finery like [a thing unclean.]
65	At the first of [the morning's] brightening
66	Gilgameš sent a cry through the land:
67	"Smith! [Lapidary! Copper]smith! Goldsmith! Engraver!
68	Make my frien[d ... !"]
69	[Then he] fashioned a statue of his friend:
70	"Of my friend — [your] lim[bs of ... ;]
71	[ ... ] <your> eyes of lapis, your chest of gold, yo[ur] body [of ... ]"
72	[ ... ] the statue of [his] f[riend]
73	[ ... ] of lapis, his chest of gold, [his] bo[dy of ... ]
74	[ ... ] the statue of [his] f[riend.]
75	[ ... ] his heart mo[ved him ... ]
76	[He tore ou]t and strewed his curl[ed hair] in clumps,
77	stripping off and flinging down his finery like [a thing unclean:]
84	"[I will lay you out on a great bed;]
85	on a be[d of honor I will lay you out;]
86	I will seat you [in the seat of peace, the seat at the left hand;]
87	the princes of the eart[h will kiss your feet;]
88	I will make the peo[ple of Uruk] weep for you, [mourn for you;]
89	the pleasure-girls, the peo[ple, I will fill with grieving for your sake;]
90	and I, after yo[u, will carry] a body [matted with fil]th;
91	I will put on the skin of a l[ion and ro]ve the open land."
92	At the first of the morning's brightening
94	he undid his fastenings and inspected the treasure:
95	obsidian, carneli[an, ... ], alabaster
96	[ ... ] worked over [ ... ]
97	[ ... he s]et out for his friend;
98	[ ... ] he set out for his friend;
99	[ ... of x] minas of gold he set out for his friend;
100	[ ... of x m]inas of gold he set out for his friend;
101	[ ... of x m]inas of gold he set out for his friend;
102	[ ... of x m]inas of gold he set out for his friend;
104	[ ... ] between them thirty minas of gold they held —
105	[ ... ] he set out for his friend;
106	[ ... ] he set out for his friend;
107	[ ... their th]ickness
108	[ ... ] he set out for his friend;
109	[ ... ] great [ ... ]
110	[ ... ] he set out for his friend;
111	[ ... ] of his waist,
112	[ ... ] he set out for his friend;
113	[ ... ] he set out for his friend;
